Bouguer	eTh	eU	GT	Kperc	SRTM	SIGLA_UNID	X	Y
-45.9364	3.59	2.45	0.3684	2.98	303.54	A3_gamma_cz	543250.0	9276125.0
-45.5323	2.09	0.56	0.0389	0.58	276.69	A3_gamma_cz	546625.0	9272875.0
-45.1918	6.61	1.85	0.0792	1.67	284.64	A3_gamma_cz	546375.0	9275125.0
-45.519	6.65	1.91	0.0539	2.34	302.3	A3_gamma_cz	544000.0	9274750.0
-42.8475	2.55	1.21	0.0566	0.9	258.14	A3_gamma_cz	552875.0	9272750.0
-42.7137	5.26	1.79	0.0767	0.92	278.33	A3_gamma_cz	552500.0	9274625.0
-45.0763	3.83	1.94	0.0592	1.52	291.07	A3_gamma_cz	548875.0	9274375.0
-45.5925	5.66	1.52	0.0548	2.02	261.13	A3_gamma_cz	549625.0	9272250.0
-45.2903	3.81	0.62	0.0535	1.68	296.73	A3_gamma_cz	546375.0	9274375.0
-43.7995	1.27	0.91	0.1987	1.54	322.12	A3_gamma_cz	538375.0	9275125.0
-44.921	5.4	1.25	0.0834	1.87	287.78	A3_gamma_cz	548375.0	9274875.0
-44.6246	5.4	1.82	0.0616	2.84	291.56	A3_gamma_cz	541250.0	9273750.0
-44.3323	3.46	1.38	0.0673	1.76	303.14	A3_gamma_cz	540500.0	9273875.0
-45.3356	10.87	2.21	0.0279	4.29	344.94	A3_gamma_cz	541375.0	9274875.0
-45.0679	6.72	1.21	0.0331	1.28	270.44	A3_gamma_cz	550375.0	9273000.0
-44.2557	5.65	1.93	0.3893	1.9	276.16	A3_gamma_cz	548000.0	9276250.0
-43.4143	6.01	1.9	0.4911	0.9	275.59	A3_gamma_cz	552625.0	9271750.0
-45.7909	12.22	2.83	0.0648	4.19	331.92	A3_gamma_cz	542375.0	9275375.0
-43.0834	3.49	1.79	0.0999	1.07	276.58	A3_gamma_cz	552250.0	9274250.0
-41.489	5.85	1.94	0.1904	1.12	252.69	A3_gamma_cz	553875.0	9273875.0
-43.5119	5.7	1.62	0.2184	1.53	267.89	A3_gamma_cz	549875.0	9276125.0
-43.6356	2.9	1.03	0.0751	1.15	280.59	A3_gamma_cz	551000.0	9275250.0
-44.5707	3.51	0.46	0.0121	2.09	287.22	A3_gamma_cz	541750.0	9273375.0
